name,watch,star,fork
/freeCodeCamp/freeCodeCamp,8395,309944,23919
/mui-org/material-ui,1331,56410,15491
/mrdoob/three.js,2469,59779,23102
/trekhleb/javascript-algorithms,2692,67846,11216
/nodejs/node,2927,69177,16682
/axios/axios,1175,71972,6453
/airbnb/javascript,3555,94529,18415
/twbs/bootstrap,7144,140032,68619
/facebook/react,6644,147025,28423
/vuejs/vue,6126,161831,24489
/30-seconds/30-seconds-of-code,1728,55846,6202
/goldbergyoni/nodebestpractices,1321,42912,3849
/moment/moment,944,43737,6571
/lodash/lodash,867,44320,4827
/h5bp/html5-boilerplate,2614,44604,10680
/expressjs/express,1827,48157,8066
/chartjs/Chart.js,1455,48155,10287
/atom/atom,2493,51674,14351
/jquery/jquery,3414,53172,19230
/webpack/webpack,1626,53794,6944
